#daq_ch domain det_def CloverName Theta Phi Time_Offset ThresholdCS cs_dom offset and slope nb_par_cal cal_pars 
#he3
000  00 8  B1P  0 70 36 	18	05  1 2     0 1   
001  01 8  B2P  0 70 108	10	06  1 2     0 1
002  02 8  B3P  0 70 180 	12	08  1 2     0 1
003  03 8  B4P  0 70 252	17	09  1 2     0 1
004  04 8  B5P  0 70 324	20	10  1 2     0 1   
005  05 8  B1N  0 110 36	15	18  1 2     0 1   
006  06 8  B2N  0 110 108	15	19  1 2     0 1   
007  07 8  B3N  0 110	180	15	20  1 2     0 1   
008  08 8  B4N  0 110 252	10	21  1 2     0 1   
009  09 8  B5N  0 110 324	15	24  1 2     0 1
010  10 8  A1N  0 143 0	15	25  1 2     0 1
011  11 8  A2N  0 143 288	15	26  1 2     0 1   
012  12 8  A3N  0 143 216	15	27  1 2     0 1   
013  13 8  A4N  0 143 144	15	28  1 2     0 1   
014  14 8  A4N  0 143 144	15	28  1 2     0 1     
015  15 8  A5N  0 143 72	10	29  1 2     0 1   
100  16 8  B2P  0 70 108	10	06  1 2     0 1   
101  17 8  B2P  0 70 108	10	06  1 2     0 1   
102  18 8  B3P  0 70 180 	12	08  1 2     0 1   
103  19 8  B4P  0 70 252	17	09  1 2     0 1   
104  20 8  B5P  0 70 324	20	10  1 2     0 1   
105  21 8  B1N  0 110 36	15	18  1 2     0 1   
106  22 8  B2N  0 110 108	15	19  1 2     0 1   
107  23 8  B3N  0 110	180	15	20  1 2     0 1   
108  24 8  B4N  0 110 252	10	21  1 2     0 1   
109  25 8  B5N  0 110 324	15	24  1 2     0 1   
110  26 8  A1N  0 143 0	15	25  1 2     0 1   
111  27 8  A2N  0 143 288	15	26  1 2     0 1   
112  28 8  A3N  0 143 216	15	27  1 2     0 1   
113  29 8  A4N  0 143 144	15	28  1 2     0 1   
114  30 8  A4N  0 143 144	15	28  1 2     0 1     
115  31 8  A5N  0 143 72	10	29  1 2     0 1   
