#daq_ch	domain	det_def	CloverName	Time_Offset	Theta	Phi		ThresholdCS	cs_dom	offset	and	slope	nb_par_cal
0	0	8	C04	0	78.75	0		2000	0	1	2	0	1
1	1	8	C05	0	101.25	0		2000	0	1	2	0	1
2	2	8	C06	0	123.75	0		2000	0	1	2	0	1
3	3	8	C07	0	146.25	0		2000	0	1	2	0	1
4	4	8	C08	0	168.75	0		2000	0	1	2	0	1
5	5	8	C09	0	-168.75	0		2000	0	1	2	0	1
6	6	8	C10	0	-146.25	0		2000	0	1	2	0	1
7	7	8	C11	0	-123.75	0		2000	0	1	2	0	1
8	8	8	C14	0	-56.25	0		500	0	1	2	0	1
9	9	8	C15	0	-33.75	0		500	0	1	2	0	1
10	10	8	C16	0	-11.25	0		200	0	1	2	0	1
11	11	8	B07	0	-67.5	0		500	0	1	2	0	1
12	12	8	C13	0	-78.75	0		500	0	1	2	0	1
13	13	8	C12	0	-101.25	0		500	0	1	2	0	1
#014	14	8	C02	0	0	0		10	0	1	2	0	1
#015	15	8	C07	0	0	0		10	0	1	2	0	1
#													
100	14	8	A01	0	0	0		1000	0	1	2	0	1
101	15	8	A02	0	90	0		1000	0	1	2	0	1
102	16	8	A03	0	180	0		1000	0	1	2	0	1
103	17	8	A04	0	-90	0		1000	0	1	2	0	1
104	18	8	B01	0	22.5	0		1000	0	1	2	0	1
105	19	8	B02	0	67.5	0		1000	0	1	2	0	1
106	20	8	B03	0	112.5	0		1000	0	1	2	0	1
107	21	8	B04	0	157.5	0		1000	0	1	2	0	1
108	22	8	B08	0	-22.5	0		1000	0	1	2	0	1
109	23	8	B05	0	-157.5	0		1000	0	1	2	0	1
110	24	8	B06	0	-112.5	0		1000	0	1	2	0	1
111	25	8	C01	0	11.25	0		1000	0	1	2	0	1
112	26	8	C02	0	33.75	0		1000	0	1	2	0	1
113	27	8	C03	0	56.25	0		1000	0	1	2	0	1
#114	28	8	A01	0	0	0		10	0	1	2	0	1
#115	31	8	C16	0	0	0		10	0	1	2	0	1
202	30	3	side	0	0	0		10	0	1	2	3.697	1.928595
200	31	3	top	0	0	0		10	0	1	2	3.4313	1.474045

